정류소명,경도,위도
시청서소문2청사,126.9746522,37.56319014
시청.서소문청사,126.9749539,37.56352484
광교,126.9828444,37.56810692
서울신문사,126.9773647,37.56836329
명동성당,126.9874194,37.56497416
우리은행종로지점,126.9828659,37.56783904
롯데백화점,126.982207,37.56450698
해운센터.롯데영플라자,126.9815478,37.56289078
롯데영프라자,126.982008,37.562885
명동입구B,126.9823981,37.56442477
신세계백화점,126.9814315,37.56112734
남대문시장.회현역,126.9777651,37.55826752
남대문시장.회현역,126.9784645,37.55849203
남산3호터널,126.9827404,37.55831045
남산3호터널.서울애니메이션센터,126.9826359,37.55952609
명동역4번출구,126.9849158,37.56065785
퇴계로2가.명동역5번출구,126.9843583,37.56093258
퇴계로3가.한옥마을.한국의집,126.9917772,37.56125082
퇴계로3가.한옥마을.한국의집,126.9924098,37.56090197
충무로역2번출구.대한극장앞,126.9947285,37.56123759
충무로역8번출구.대한극장앞,126.9964922,37.56203716
초동,126.993112,37.56334618
을지로입구.로얄호텔,126.9853903,37.56587574
을지로입구.시청입구,126.9811712,37.56613826
을지로2가.기업은행본점.서울노동청,126.9865234,37.56624623
을지로2가.파인에비뉴,126.9886708,37.56607271
을지로3가,126.99026,37.56637298
을지로3가,126.9913276,37.56612052
을지로4가,126.9959336,37.56668416
을지로4가.베스트웨스턴국도,126.9968473,37.56640104
중구청앞.덕수중학교,126.9981401,37.5647746
방산시장.을지로4가역6번출구,126.9992585,37.56681829
을지로5가.중부시장,127.001115,37.56662004
방산시장.훈련원종합체육관,127.0024045,37.56796085
을지로5가,127.0025946,37.56582435
을지로6가.국립중앙의료원,127.0062316,37.56616983
광희동,127.0072097,37.56505283
광희동,127.0077223,37.56517255
을지로6가.국립중앙의료원,127.0058435,37.56646311
동대문역사문화공원,127.0083555,37.56735414
동대문역사문화공원,127.0091685,37.5674835
충무아트센터.스포츠센터.중부소방서,127.0135231,37.56516753
충무아트센터.스포츠센터.중부소방서,127.0147409,37.56501789
